Temperatura,NivelCO2,Incendio
9.22,290.88,False
24.55,567.23,False
19.28,553.35,False
81.11,809.84,True
49.33,448.52,False
18.93,137.41,False
22.96,158.26,False
35.01,591.77,False
21.31,949.27,False
70.16,444.12,True
37.47,495.53,True
24.21,569.95,False
15.97,777.07,False
10.38,53.14,False
27.44,588.43,False
33.29,735.21,True
81.41,676.95,True
71.73,396.57,True
17.63,589.45,False
24.51,442.24,False
8.86,106.32,False
9.58,435.56,False
73.04,646.99,True
26.44,693.08,False
48.72,28.87,False
34.7,279.52,True
74.74,180.81,True
85.12,77.02,True
13.34,456.03,False
15.07,327.22,False
24.16,412.08,False
15.62,450.06,False
19.32,510.8,False
66.45,1263.56,True
15.1,450.17,False
19.47,924.98,True
83.65,78.79,True
80.61,406.73,True
16.14,569.53,False
11.73,198.4,True
18.84,270.47,True
37.88,1589.0,True
19.03,2034.21,True
10.72,451.14,False
27.45,984.7,False
65.27,753.19,True
35.52,699.45,False
28.28,434.28,False
8.17,4341.84,True
42.87,278.51,False
42.91,4978.16,True
27.77,380.42,False
21.02,135.96,False
20.71,505.94,False
49.68,601.43,False
39.05,552.9,False
8.34,527.18,False
9.91,691.15,False
42.42,236.45,False
15.59,502.4,False
19.48,302.39,True
84.72,813.52,True
21.84,555.52,False
17.89,585.08,False
87.05,233.41,True
61.69,504.66,True
45.93,581.61,False
66.43,195.22,True
13.51,566.57,False
14.1,709.43,False
37.38,82.37,False
41.16,121.5,True
24.21,493.64,False
44.97,652.0,False
63.74,898.05,True
22.74,4539.12,True
24.74,129.26,False
28.6,460.78,True
33.1,543.86,False
41.41,536.17,False
25.64,549.49,False
27.38,3.31,False
48.82,1256.18,True
24.78,828.25,False
25.65,809.48,False
26.88,640.38,False
22.57,1557.35,True
25.95,423.57,False
24.57,947.33,True
23.63,905.73,False
20.86,301.78,False
14.14,161.1,False
16.97,438.0,False
32.9,773.58,False
19.28,458.3,False
24.71,999.36,False
24.84,2324.27,True
33.81,486.87,False
42.08,354.88,True
82.09,710.13,True
72.17,303.3,True
74.8,947.64,True
45.01,453.92,False
56.18,809.91,True
33.32,2933.6,True
42.01,552.68,False
68.21,2915.06,True
34.57,481.58,False
45.75,507.88,False
49.78,407.31,False
15.48,874.4,False
22.82,348.02,False
12.75,306.55,False
18.67,707.69,False
58.58,623.68,True
59.57,2949.45,True
28.18,139.28,True
32.82,439.48,False
14.32,122.8,False
48.64,451.19,False
8.36,161.29,True
25.65,514.27,False
10.23,454.69,False
8.34,1146.95,True
23.74,735.48,False
21.63,914.35,False
18.3,4545.69,True
14.65,220.82,False
49.12,573.1,False
9.69,528.35,False
24.1,490.31,True
16.68,187.99,False
76.0,586.12,True
18.25,477.69,False
42.29,85.41,False
19.95,211.1,False
9.58,131.75,False
20.55,187.7,True
18.14,756.02,False
67.07,454.38,True
71.74,4282.88,True
33.71,58.65,False
18.89,550.78,False
19.51,4400.18,True
76.18,868.27,True
48.0,75.33,False
26.5,695.64,False
37.06,922.97,False
24.19,581.35,False
12.87,515.6,False
42.34,591.13,False
46.6,991.09,False
8.88,427.45,False
49.74,4163.8,True
12.96,660.98,False
